"Id","Description","Status","Error"
"HEALTH","Backend health check","FAIL","You cannot call a method on a null-valued expression."
"AUTH-001","Request OTP","PASS",""
"AUTH-002","Peek OTP","PASS",""
"AUTH-003","Verify OTP and get token","PASS",""
"USER-001","Get user profile","PASS",""
"VENUE-001","List venues","PASS",""
"VENUE-002","List venues by category (Nightlife)","PASS",""
"VENUE-003","Get venue detail","PASS",""
"FOOD-001","List food vendors","PASS",""
"FOOD-002","Get food vendor menu","PASS",""
"FOOD-003","Get food order history","PASS",""
"RIDE-001","Get ride history","PASS",""
"RIDE-002","Get nearby drivers","PASS",""
"RIDE-003","Get saved locations","PASS",""
"RIDE-004","Get scheduled rides","PASS",""
"RIDE-005","Get emergency contacts","PASS",""
"STAY-001","List homestays","PASS",""
"TRANSIT-001","List transit hubs","PASS",""
"TRANSIT-002","List transit trips","PASS",""
"LUGGAGE-001","List luggage drop-offs","PASS",""
"RENTAL-001","List rental scooters","PASS",""
"EVENT-001","List P2P events","PASS",""
"WALLET-001","Get wallet balance","PASS",""
"WALLET-002","Get wallet transactions","PASS",""
"NOTIF-001","Register device token","PASS",""
"BOOK-001","Create booking (POST)","PASS",""
"SUPPORT-001","Get support tickets","PASS",""
"EQUIP-001","Browse equipment","PASS",""
"EQUIP-002","List equipment items","FAIL","HTTP Forbidden: "
"PARTY-001","Browse party services","FAIL","You cannot call a method on a null-valued expression."
"REFERRAL-001","Get referral info","FAIL","You cannot call a method on a null-valued expression."
"SUB-001","Get subscription status","PASS",""
"DINE-001","Get active dine-in sessions","PASS",""
"ACTIVITY-001","Get activity feed","PASS",""
"PUB-001","Get flash promos","PASS",""
"PUB-002","Check service area","PASS",""
"CONFIG-001","Get app versions","PASS",""
"CLEANUP-001","Delete test account","PASS",""
